Name,Geo_id,0 - 9999,10000 - 14999,15000 - 24999,25000 - 34999,35000 - 49999,50000 - 74999,75000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Warren County, Tennessee",0500000US47177,1276.155,1591.2549999999999,2142.6800000000003,2315.9849999999997,2505.045,2820.145,1417.95,1165.8700000000001,204.81500000000003,315.1
"Washington County, Tennessee",0500000US47179,4267.404,3529.8280000000004,7217.707999999999,6480.1320000000005,7797.232000000001,9641.172,5163.032,5163.032,1633.204,1791.256
"Weakley County, Tennessee",0500000US47183,1551.198,993.3109999999999,2122.692,1904.9800000000002,2217.9410000000003,2245.155,1088.56,1129.381,217.71200000000002,136.07
"Benton County, Tennessee",0500000US47005,883.476,548.8259999999999,1064.1870000000001,930.3270000000001,943.713,1131.117,555.519,388.19399999999996,133.86,113.781
"Bledsoe County, Tennessee",0500000US47007,415.09600000000006,387.112,708.928,527.032,755.568,811.536,466.40000000000003,345.136,102.608,144.584
"Campbell County, Tennessee",0500000US47013,1917.003,1505.085,2281.3920000000003,2122.962,2423.979,2392.293,1663.5149999999999,998.109,269.331,253.488
"Cannon County, Tennessee",0500000US47015,469.21599999999995,321.904,698.368,638.352,736.5600000000001,1102.1119999999999,845.68,436.48,103.664,109.12
"Houston County, Tennessee",0500000US47083,245.91799999999998,218.927,389.87,347.88399999999996,629.79,590.803,266.911,206.931,41.986,59.980000000000004
"Maury County, Tennessee",0500000US47119,1766.596,1633.268,3999.8399999999997,3233.2039999999997,5366.452,6899.723999999999,4599.816000000001,3999.8399999999997,866.6320000000001,933.2959999999999
"Polk County, Texas",0500000US48373,1498.72,1163.712,2345.056,2204.0,2644.7999999999997,3261.92,1657.408,1851.36,458.432,528.96
"Refugio County, Texas",0500000US48391,188.58,239.76600000000002,328.668,237.07200000000003,339.444,611.5379999999999,288.258,315.198,83.514,56.574000000000005
"Van Zandt County, Texas",0500000US48467,1161.24,1064.47,2554.728,2187.002,2709.5600000000004,3599.8440000000005,2399.896,2380.5420000000004,793.5139999999999,503.20400000000006
"Caldwell County, Texas",0500000US48055,915.4739999999999,528.6539999999999,1534.3860000000002,1315.1879999999999,1972.782,2604.5879999999997,1611.75,1624.644,477.0780000000001,296.562
"Wilbarger County, Texas",0500000US48487,293.83500000000004,520.655,664.995,613.445,644.375,1232.0449999999998,541.275,453.64000000000004,128.875,61.86
"Martin County, Texas",0500000US48317,70.30499999999999,50.685,135.705,112.81500000000001,225.63000000000002,261.6,245.25,235.44000000000003,137.34,158.59499999999997
"Reagan County, Texas",0500000US48383,60.892,42.156000000000006,126.46800000000002,92.509,117.10000000000001,226.00300000000001,165.111,257.62,36.301,46.84
"Yoakum County, Texas",0500000US48501,108.73199999999999,214.812,180.336,198.9,331.5,665.652,265.2,485.316,119.33999999999999,79.56
"Hale County, Texas",0500000US48189,1009.53,740.322,1211.4360000000001,1222.653,1996.6260000000002,2288.268,1368.474,1054.398,179.472,157.03799999999998
